target_percent,grid_levels,cycles,total_profit,profit_per_cycle
2.6,735,8345,10392.04,1.245301
2.9,735,7468,10389.39,1.391188
2.7,735,8029,10389.26,1.293967
2.5,735,8681,10387.35,1.196561
2.8,735,7733,10382.32,1.342599
3,735,7210,10380.3,1.439708
2.5,735,8681,10387.35,1.196561
2.4,735,9034,10369.22,1.1478
2.3,735,9422,10354.32,1.098951
2.2,735,9830,10322.24,1.050075
2.1,735,10282,10293.9,1.001157
2,735,10773,10257.93,0.952189
1.9,735,11325,10228.12,0.903145
1.8,735,11943,10200.33,0.854085
1.7,735,12625,10162.41,0.804943
1.6,735,13390,10119.86,0.755777
1.5,735,14229,10053.38,0.706541
1.4,735,15249,10022.7,0.657269
1.3,735,16411,9976.85,0.607937
1.2,735,17747,9912.9,0.558568
1.1,735,19269,9810.81,0.50915
1,735,21039,9670.64,0.459653
0.9,735,23211,9519.64,0.410135
0.8,735,25854,9322.03,0.360564
0.7,735,29225,9087,0.310932
0.6,735,33515,8755.94,0.261254
0.5,735,39327,8318.67,0.211526
0.4,735,47597,7698.8,0.16175
